customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000,Male,0,Yes,No,2,Yes,No,No,No,No internet service,No,No,Yes,No,Two year,No,Electronic check,75.56,151.12,No
0001,Female,1,No,No,4,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,65.48,261.92,Yes
0002,Male,0,No,Yes,45,No,Yes,No,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,107.49,4837.05,Yes
0003,Male,1,No,No,13,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),35.79,465.27,No
0004,Male,1,Yes,Yes,55,No,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,66.2,3641.0,No
0005,Female,0,No,No,32,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,No,Two year,Yes,Mailed check,32.55,1041.6,No
0006,Male,1,No,No,22,No,Yes,No,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,81.32,1789.04,No
0007,Male,1,Yes,No,55,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Mailed check,24.25,1333.75,No
0008,Male,0,Yes,Yes,17,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),118.02,2006.34,Yes
0009,Female,0,Yes,Yes,70,No,Yes,No,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),20.81,1456.7,Yes
0010,Male,0,Yes,No,51,Yes,No,Fiber optic,No,Yes,Yes,No internet service,Yes,Yes,One year,No,Electronic check,113.22,5774.22,Yes
0011,Male,0,No,No,8,No,No phone service,DSL,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,84.42,675.36,No
0012,Male,1,Yes,Yes,61,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,102.28,6239.08,Yes
0013,Male,0,No,Yes,10,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,55.81,558.1,No
0014,Female,0,Yes,Yes,19,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),44.4,843.6,No
0015,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,No,Two year,Yes,Electronic check,37.32,522.48,No
0016,Female,0,No,Yes,67,Yes,No,No,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),73.12,4899.04,No
0017,Female,0,No,Yes,55,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),46.66,2566.3,No
0018,Female,1,No,Yes,61,No,No,No,No,No,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),108.01,6588.61,Yes
0019,Male,0,Yes,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,22.99,1287.44,Yes
0020,Female,1,Yes,Yes,63,No,No phone service,Fiber optic,No,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,28.46,1792.98,Yes
0021,Male,0,No,Yes,11,Yes,No phone service,DSL,Yes,No,No,No,No,No internet service,One year,No,Credit card (automatic),41.58,457.38,Yes
0022,Female,0,No,Yes,47,No,No phone service,DSL,No internet service,Yes,No internet service,No,No,No,One year,Yes,Credit card (automatic),28.23,1326.81,No
0023,Female,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.8,616.8,No
0024,Female,0,No,Yes,34,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,20.4,693.6,Yes
0025,Female,0,No,No,65,Yes,No,No,No,No internet service,No,No,No,No,Two year,No,Mailed check,85.17,5536.05,Yes
0026,Female,0,Yes,No,64,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),65.55,4195.2,Yes
0027,Female,0,No,Yes,66,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,97.27,6419.82,No
0028,Female,0,Yes,No,31,No,No,DSL,No internet service,No,No internet service,No internet service,Yes,No,One year,Yes,Electronic check,61.04,1892.24,Yes
0029,Female,1,Yes,No,62,No,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),84.51,5239.62,No
0030,Male,0,Yes,Yes,54,No,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,83.93,4532.22,Yes
0031,Male,1,No,No,8,No,No,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),56.38,451.04,No
0032,Female,0,No,Yes,42,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),31.42,1319.64,Yes
0033,Female,1,No,Yes,41,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),63.3,2595.3,Yes
0034,Female,0,No,Yes,59,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),107.51,6343.09,Yes
0035,Male,0,Yes,Yes,40,No,No,DSL,Yes,No,No,No internet service,Yes,No internet service,Two year,No,Electronic check,99.64,3985.6,Yes
0036,Female,0,Yes,Yes,22,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),57.14,1257.08,No
0037,Male,1,No,Yes,24,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,Yes,One year,Yes,Electronic check,106.73,2561.52,Yes
0038,Male,1,No,Yes,38,No,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,One year,No,Mailed check,63.87,2427.06,Yes
0039,Male,1,No,No,2,No,Yes,No,No internet service,Yes,No internet service,No,No,No,One year,Yes,Electronic check,39.62,79.24,No
0040,Male,1,No,Yes,41,Yes,Yes,DSL,No internet service,No,No,Yes,No,No internet service,Two year,No,Bank transfer (automatic),106.4,4362.4,No
0041,Male,0,Yes,No,19,No,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,69.36,1317.84,No
0042,Female,0,No,Yes,2,No,Yes,No,No internet service,No internet service,No,Yes,No internet service,No,Two year,Yes,Mailed check,63.38,126.76,Yes
0043,Female,0,Yes,Yes,62,No,No phone service,No,Yes,No internet service,No,No internet service,No,No,One year,No,Mailed check,43.49,2696.38,Yes
0044,Female,1,No,Yes,16,No,No phone service,No,Yes,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),96.46,1543.36,Yes
0045,Female,0,No,No,22,No,No phone service,No,No,No,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,75.02,1650.44,No
0046,Female,1,No,No,14,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,40.73,570.22,No
0047,Male,1,Yes,No,56,No,Yes,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),45.93,2572.08,Yes
0048,Female,1,No,No,65,No,No,No,No,No,Yes,No internet service,No,No internet service,One year,Yes,Credit card (automatic),58.25,3786.25,No
0049,Female,1,Yes,No,45,No,No,No,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),73.43,3304.35,No
0050,Male,1,Yes,No,54,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,100.52,5428.08,Yes
0051,Female,0,No,Yes,66,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),40.72,2687.52,Yes
0052,Male,1,Yes,Yes,46,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),93.86,4317.56,No
0053,Female,1,Yes,No,33,No,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,One year,No,Electronic check,111.62,3683.46,No
0054,Male,0,Yes,No,50,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,59.57,2978.5,No
0055,Female,1,No,No,22,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Two year,No,Mailed check,56.58,1244.76,No
0056,Female,1,Yes,No,40,Yes,Yes,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),67.77,2710.8,Yes
0057,Male,0,Yes,No,39,No,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),101.71,3966.69,No
0058,Male,0,No,Yes,41,No,No phone service,No,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),29.25,1199.25,No
0059,Male,0,No,Yes,68,No,No,DSL,No internet service,No,No,Yes,No internet service,No internet service,Two year,No,Mailed check,58.73,3993.64,No
0060,Male,1,Yes,Yes,7,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,One year,No,Electronic check,22.93,160.51,Yes
0061,Male,0,Yes,Yes,71,Yes,No,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),71.78,5096.38,Yes
0062,Male,0,Yes,Yes,4,No,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),114.41,457.64,No
0063,Male,0,Yes,Yes,59,No,No,DSL,No,No,Yes,No,No,No internet service,Two year,Yes,Credit card (automatic),36.03,2125.77,No
0064,Male,1,No,Yes,26,Yes,No phone service,No,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),45.54,1184.04,No
0065,Female,0,No,Yes,31,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Two year,No,Credit card (automatic),89.89,2786.59,Yes
0066,Female,1,Yes,No,69,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),89.05,6144.45,Yes
0067,Male,1,No,No,52,Yes,Yes,DSL,No,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),79.67,4142.84,No
